GEOID,EvicTotal,HH_Median,Population,Male,Female,Median_age,White,Black,Asian,Hispanic,Households,Family_HH,Employed,Per_capita,Health_Ins,NoHealth_Ins,Pct_in_pov,Travel_time,HU_Occupied,HU_Vacant,Homeowner,Rental_vacancy,No_telepho,higherEduc,Urban_Rura
47157021121,93,48526,5483,2319,3164,34.3,2242,3128,51,143,2606,1236,3062,35532,4757,680,4.61165,0,2606,184,0,6.86,23,2798,Urban
47157010300,21,20469,1440,657,783,24.1,29,1411,0,0,452,311,393,10082,1068,372,50.4823,11,452,172,0,12.893,0,263,Urban
47157020700,4,75913,2253,1140,1113,48.1,1928,214,0,107,797,665,998,33425,2145,94,3.7594,12,797,79,2.125,8.621,12,1059,Mixed
47157021010,173,71286,16377,7264,9113,33.9,5895,8736,1262,833,5964,4147,9721,33113,14680,1577,4.31637,230,5964,565,5.475,6.443,24,8703,Mixed
47157021510,245,65941,8369,3882,4487,37.5,2165,5118,930,299,3455,2046,4808,34774,7593,776,5.4741,11,3455,283,3.204,4.675,34,4418,Mixed
47157020621,146,35761,7919,3681,4238,31.1,2416,5187,187,158,3090,2003,4137,20150,7181,738,11.5826,0,3090,70,0,2.699,5,3675,Urban
47157021744,56,58125,5653,2478,3175,41,1099,4150,87,802,2033,1433,2949,25094,4983,670,3.14027,15,2033,96,0,4.057,16,2265,Urban
47157010500,41,26563,1754,907,847,33.4,309,1279,0,157,479,288,497,13924,1124,283,35.0694,11,479,784,0,14.536,11,299,Urban
47157004500,25,20060,990,400,590,22.6,89,895,0,40,331,195,308,9087,908,82,54.359,6,331,76,0,2.941,6,269,Urban
47157021724,82,41958,2264,1113,1151,34.2,116,1965,0,229,921,540,1278,21486,1971,293,13.7037,9,921,85,3.623,4.454,0,869,Urban
47157980100,4,0,76,37,39,31.3,69,7,0,0,0,0,4,6718,26,50,0,0,0,0,0,0,0,19,Urban
47157004200,86,68682,2892,1529,1363,33.6,1922,787,91,58,2015,364,2359,65815,2770,122,0,0,2015,469,1.569,3.305,54,2450,Mixed
47157004600,31,22614,1336,609,727,39.3,162,1144,5,0,695,212,591,21237,1093,243,16.9811,6,695,132,10.577,8.511,0,430,Urban
47157021613,2,111159,4856,2376,2480,39.8,4022,199,400,198,1514,1317,2488,37263,4745,111,2.50569,9,1514,34,0,39.081,12,2560,Urban
47157007300,107,23672,4851,2236,2615,22.2,2620,1726,327,201,1508,412,2040,22042,4203,477,12.3786,13,1508,279,0,13.143,35,3630,Urban
47157021320,59,72222,5899,2635,3264,43.2,4278,1342,154,40,2434,1456,2872,55849,5471,252,6.45604,19,2434,251,0,12.511,86,3535,Urban
47157020222,33,51563,2980,1372,1608,33.8,1458,1296,29,286,1012,717,1350,20873,2511,457,15.3417,27,1012,100,4.442,0,6,962,Mixed
47157022410,43,36607,6029,2995,3034,48.8,455,5457,0,137,2238,1487,2339,21394,5211,818,11.8359,47,2238,347,0,5.206,51,2486,Urban
47157005300,50,19441,2799,1316,1483,46.5,7,2655,6,19,1333,494,931,13485,2048,751,32.3887,17,1333,589,0,15.018,12,842,Mixed
47157008500,3,120880,4426,2067,2359,45.1,4061,242,64,38,1793,1117,1990,85892,4336,90,4.5658,28,1793,162,3.697,0,24,2934,Urban
47157020810,8,81397,2900,1439,1461,49.9,2193,707,0,41,1036,835,1508,43566,2781,119,0,0,1036,62,3.8,0,17,1600,Mixed
47157021520,74,106394,13136,5999,7137,37.2,6985,3295,2219,344,5005,3413,7213,45998,12502,634,0.908292,192,5005,282,0,6.296,0,6856,Mixed
